Nhom,Event,TenFileWav,CauDoc,UuTien,CooldownGiay,TrangThai
Ket noi,vehicle_connected,da_ket_noi_may_bay.wav,Đã kết nối máy bay.,INFO,7,Đã tích hợp TTS
Ket noi,vehicle_disconnected,mat_ket_noi_may_bay.wav,Mất kết nối máy bay.,WARNING,7,Đã tích hợp TTS
Ket noi,telemetry_lost,mat_du_lieu_telemetry.wav,"Cảnh báo, mất dữ liệu telemetry.",WARNING,10,Đề xuất WAV
Ket noi,telemetry_restored,da_khoi_phuc_telemetry.wav,Đã khôi phục dữ liệu telemetry.,INFO,10,Đề xuất WAV
Ket noi,link_weak,tin_hieu_ket_noi_yeu.wav,"Cảnh báo, tín hiệu kết nối yếu.",WARNING,15,Đề xuất WAV
Ket noi,link_recovered,tin_hieu_ket_noi_da_on_dinh.wav,Tín hiệu kết nối đã ổn định.,INFO,15,Đề xuất WAV
Trang thai bay,armed,may_bay_da_arm.wav,Máy bay đã ARM.,INFO,7,Đã tích hợp TTS
Trang thai bay,disarmed,may_bay_da_disarm.wav,Máy bay đã DISARM.,INFO,7,Đã tích hợp TTS
Trang thai bay,takeoff_started,may_bay_dang_cat_canh.wav,Máy bay đang cất cánh.,INFO,10,Đề xuất WAV
Trang thai bay,takeoff_complete,may_bay_da_dat_do_cao_cat_canh.wav,Máy bay đã đạt độ cao cất cánh.,INFO,10,Đề xuất WAV
Trang thai bay,landing_started,may_bay_dang_ha_canh.wav,Máy bay đang hạ cánh.,WARNING,10,Đề xuất WAV
Trang thai bay,landing_complete,may_bay_da_ha_canh.wav,Máy bay đã hạ cánh.,INFO,10,Đề xuất WAV
Trang thai bay,emergency_land,ha_canh_khan_cap.wav,"Cảnh báo, máy bay đang hạ cánh khẩn cấp.",CRITICAL,5,Đề xuất WAV
Trang thai bay,rtl,dang_ve_home.wav,Máy bay đang trở về điểm Home.,WARNING,7,Đã tích hợp TTS
Trang thai bay,home_reached,may_bay_da_ve_home.wav,Máy bay đã về điểm Home.,INFO,10,Đề xuất WAV
Trang thai bay,loiter,da_chuyen_loiter.wav,Đã chuyển sang chế độ Loiter.,INFO,7,Đã tích hợp TTS
Trang thai bay,auto,da_chuyen_auto.wav,Đã chuyển sang chế độ Auto.,INFO,7,Đã tích hợp TTS
Trang thai bay,guided,da_chuyen_guided.wav,Đã chuyển sang chế độ Guided.,INFO,7,Đề xuất WAV
Trang thai bay,manual,da_chuyen_manual.wav,Đã chuyển sang chế độ Manual.,INFO,7,Đề xuất WAV
Trang thai bay,stabilize,da_chuyen_stabilize.wav,Đã chuyển sang chế độ Stabilize.,INFO,7,Đề xuất WAV
Trang thai bay,altitude_hold,da_chuyen_giu_do_cao.wav,Đã chuyển sang chế độ giữ độ cao.,INFO,7,Đề xuất WAV
Trang thai bay,position_hold,da_chuyen_giu_vi_tri.wav,Đã chuyển sang chế độ giữ vị trí.,INFO,7,Đề xuất WAV
Trang thai bay,mode_change_failed,khong_the_chuyen_che_do_bay.wav,"Cảnh báo, không thể chuyển chế độ bay.",WARNING,10,Đề xuất WAV
Nhiem vu,mission_started,nhiem_vu_da_bat_dau.wav,Nhiệm vụ đã bắt đầu.,INFO,7,Đề xuất WAV
Nhiem vu,mission_paused,nhiem_vu_da_tam_dung.wav,Nhiệm vụ đã tạm dừng.,INFO,7,Đề xuất WAV
Nhiem vu,mission_resumed,nhiem_vu_da_tiep_tuc.wav,Nhiệm vụ đã tiếp tục.,INFO,7,Đề xuất WAV
Nhiem vu,mission_complete,nhiem_vu_da_hoan_thanh.wav,Nhiệm vụ đã hoàn thành.,INFO,7,Đã tích hợp TTS
